Player,ADP
Nathan MacKinnon,2.1
Nikita Kucherov,3.9
Connor McDavid,1.5
Cale Makar,6.4
Evan Bouchard,16.4
Macklin Celebrini,4.9
David Pastrnak,8.6
Zach Werenski,15.3
Leon Draisaitl,6.0
Rasmus Dahlin,34.7
Quinn Hughes,12.4
Kirill Kaprizov,9.8
Filip Forsberg,55.9
Jason Robertson,10.4
Auston Matthews,17.7
Kyle Connor,29.9
Nick Suzuki,12.8
Moritz Seider,53.2
Lane Hutson,20.9
Artemi Panarin,50.4
Matthew Schaefer,31.8
Cole Caufield,18.1
Sidney Crosby,53.2
Jake Guentzel,32.6
Mark Scheifele,36.2
Mikko Rantanen,25.6
Matt Boldy,21.2
Wyatt Johnston,19.0
Alex DeBrincat,40.8
Tim Stutzle,47.9
Martin Necas,15.7
William Nylander,42.4
Jakob Chychrun,51.4
Clayton Keller,44.2
Jack Eichel,22.6
Sam Reinhart,46.3
Brandon Hagel,37.6
Brady Tkachuk,25.7
Josh Morrissey,83.8
Cutter Gauthier,34.7
John Tavares,129.2
J.T. Miller,116.4
Roman Josi,78.1
Sebastian Aho (F),76.1
Jack Hughes,19.3
Adrian Kempe,54.4
Darren Raddysh,50.7
Jesper Bratt,76.9
Aleksander Barkov,56.2
Juraj Slafkovsky,52.9
Erik Karlsson,74.3
Jackson LaCombe,79.6
Tage Thompson,29.3
Dylan Guenther,41.6
Mitch Marner,42.5
Mikhail Sergachev,91.5
Mika Zibanejad,88.1
Dylan Larkin,91.4
Victor Hedman,90.4
John Carlson,83.7
Nico Hischier,129.0
Steven Stamkos,124.1
Matthew Tkachuk,34.1
Travis Konecny,130.0
Charlie McAvoy,98.8
Alex Tuch,92.8
Jake Sanderson,63.8
Adam Fox,56.0
Drake Batherson,85.1
Lucas Raymond,73.1
Bo Horvat,128.2
Adam Fantilli,99.7
Kirill Marchenko,62.6
Vincent Trocheck,134.3
Beckett Sennecke,105.1
Logan Cooley,120.0
Alex Ovechkin,93.3
MacKenzie Weegar,112.6
Andrei Svechnikov,117.1
Dylan Holloway,107.6
Matthew Knies,119.2
Porter Martone,68.7
Dougie Hamilton,110.6
Noah Dobson,94.6
Morgan Geekie,112.8
Tom Wilson,127.4
Ivan Demidov,86.1
Brayden Point,85.5
Brock Nelson,133.4
Zach Hyman,101.1
Nikolaj Ehlers,116.1
Tomas Hertl,145.2
Pavel Dorofeyev,72.0
Miro Heiskanen,69.8
Brock Faber,81.8
Ryan O'Reilly,143.3
Dylan Cozens,139.6
Dylan Strome,142.6
Owen Tippett,133.4
Nick Schmaltz,96.8
Bryan Rust,126.5
Brad Marchand,145.6
Kevin Fiala,148.4
Brandt Clarke,105.2
Timo Meier,103.5
Carter Verhaeghe,131.0
Filip Hronek,139.6
Robert Thomas,77.1
Leo Carlsson,45.6
Thomas Harley,115.6
Connor Bedard,63.0
Gabriel Vilardi,145.3
Rickard Rakell,133.8
Bowen Byram,114.7
Mark Stone,106.4
Thomas Chabot,142.1
Roope Hintz,120.0
Elias Pettersson (F),136.8
Will Cuylle,
Alex Laferriere,146.3
Shea Theodore,101.6
Matvei Michkov,138.9
Shayne Gostisbehere,97.5
Nazem Kadri,146.3
Alexander Nikishin,139.1
Sam Bennett,137.4
Aliaksei Protas,141.0
Alexis Lafreniere,142.5
Mattias Ekholm,128.2
Trevor Zegras,133.5
Darnell Nurse,136.5
Vince Dunn,128.4
Jordan Kyrou,138.8
Jimmy Snuggerud,134.3
Will Smith,64.9
Rasmus Andersson,109.0
Kiefer Sherwood,132.4
Quinton Byfield,136.2
Travis Sanheim,140.9
Brandon Montour,118.5
Brock Boeser,131.9
JJ Peterka,139.2
