round,pick_in_round,overall,player,nhl_team,position,fantasy_team
1,1,1,Connor McDavid,EDM,C,laine’s 4head
1,2,2,Nathan MacKinnon,COL,C,MacKinnon Me Softly
1,3,3,Leon Draisaitl,EDM,"C,LW",Show Us Your Mitts
1,4,4,Cale Makar,COL,D,McJesus Has Risen
1,5,5,Nikita Kucherov,TB,RW,Zamboni Drivers Union
1,6,6,Kirill Kaprizov,MIN,LW,ICE Raiders
1,7,7,David Pastrnak,BOS,RW,Going Holloway up
1,8,8,Mikko Rantanen,DAL,"LW,RW",Demigod
1,9,9,Brady Tkachuk,FLA,"C,LW",GiannoneAK27
1,10,10,Auston Matthews,TOR,C,Mustache Mafia
1,11,11,William Nylander,TOR,"C,RW",Bob's Burgers
1,12,12,Quinn Hughes,MIN,D,When Helly Freezes Over
2,1,13,Connor Hellebuyck,WPG,G,When Helly Freezes Over
2,2,14,Jack Eichel,VGK,C,Bob's Burgers
2,3,15,Kyle Connor,WPG,LW,Mustache Mafia
2,4,16,Lane Hutson,MTL,D,GiannoneAK27
2,5,17,Andrei Vasilevskiy,TB,G,Demigod
2,6,18,Jack Hughes,NJ,"C,LW",Going Holloway up
2,7,19,Zach Werenski,CBJ,D,ICE Raiders
2,8,20,Jake Oettinger,DAL,G,Zamboni Drivers Union
2,9,21,Sam Reinhart,FLA,RW,McJesus Has Risen
2,10,22,Rasmus Dahlin,BUF,D,Show Us Your Mitts
2,11,23,Mitch Marner,VGK,"C,LW,RW",MacKinnon Me Softly
2,12,24,Jason Robertson,DAL,"LW,RW",laine’s 4head
3,1,25,Igor Shesterkin,NYR,G,laine’s 4head
3,2,26,Brayden Point,TB,C,MacKinnon Me Softly
3,3,27,Artemi Panarin,LA,LW,Show Us Your Mitts
3,4,28,Jesper Bratt,NJ,"LW,RW",McJesus Has Risen
3,5,29,J.T. Miller,NYR,"C,LW,RW",Zamboni Drivers Union
3,6,30,Evan Bouchard,EDM,D,ICE Raiders
3,7,31,Filip Forsberg,NSH,LW,Going Holloway up
3,8,32,Sidney Crosby,PIT,C,Demigod
3,9,33,Tim Stutzle,OTT,"C,LW",GiannoneAK27
3,10,34,Jake Guentzel,TB,"LW,RW",Mustache Mafia
3,11,35,Matt Boldy,MIN,"LW,RW",Bob's Burgers
3,12,36,Nick Suzuki,MTL,C,When Helly Freezes Over
