player,team,age,Pos,Salary,GP,W,L,OTL,GA,SA,SV,SV%,GAA,SO,QS,RBS,VOR,Rk VOR
Connor Hellebuyck,WPG,32,G,8500000.0,62,40,19,3,143,1794,1651,0.92,2.31,6,42,6,742,1
Andrei Vasilevskiy,TBL,31,G,9500000.0,60,35,21,4,151,1730,1579,0.913,2.52,4,36,10,471,2
Linus Ullmark,OTT,32,G,8250000.0,48,31,13,4,117,1426,1309,0.918,2.44,3,34,6,455,3
Jake Oettinger,DAL,27,G,8250000.0,58,36,16,6,147,1644,1497,0.91,2.54,3,35,10,407,4
Igor Shesterkin,NYR,30,G,11500000.0,59,33,21,5,156,1719,1564,0.91,2.64,4,34,12,348,5
Ilya Sorokin,NYI,30,G,8250000.0,59,29,22,8,157,1780,1623,0.912,2.67,4,37,9,333,6
Filip Gustavsson,MIN,27,G,3750000.0,49,26,17,6,127,1463,1336,0.913,2.6,4,30,8,261,7
Anthony Stolarz,TOR,32,G,2500000.0,41,24,13,3,105,1246,1141,0.916,2.55,3,26,5,248,8
Sergei Bobrovsky,FLA,37,G,10000000.0,54,31,19,3,139,1485,1346,0.906,2.57,4,33,10,232,9
Darcy Kuemper,LAK,35,G,5250000.0,52,26,19,6,134,1469,1335,0.909,2.58,4,30,8,208,10
Juuse Saros,NSH,30,G,7740000.0,61,28,26,6,170,1809,1639,0.906,2.78,3,34,11,191,11
Logan Thompson,WSH,28,G,5850000.0,45,28,12,5,120,1336,1216,0.91,2.67,2,27,6,179,12
Adin Hill,VGK,29,G,6250000.0,45,27,14,4,113,1231,1118,0.908,2.52,3,25,8,170,13
Frederik Andersen,CAR,36,G,2750000.0,42,26,14,2,104,1103,999,0.906,2.46,3,25,9,119,14
Joey Daccord,SEA,29,G,5000000.0,48,23,19,7,129,1404,1275,0.908,2.69,2,30,7,96,15
Jet Greaves,CBJ,24,G,812500.0,35,19,13,4,93,1098,1005,0.915,2.66,3,22,5,90,16
Dustin Wolf,CGY,24,G,850000.0,50,26,17,7,138,1468,1330,0.906,2.76,2,28,7,89,17
Stuart Skinner,EDM,27,G,2600000.0,50,28,16,5,136,1421,1285,0.904,2.72,2,28,10,87,18
Joseph Woll,TOR,27,G,3666667.0,41,25,15,2,114,1249,1135,0.909,2.78,1,24,6,60,19
Leevi Merilainen,OTT,23,G,1050000.0,30,18,10,3,74,824,751,0.911,2.46,4,18,7,28,20
Jordan Binnington,STL,32,G,6000000.0,55,27,23,5,159,1627,1467,0.902,2.9,3,30,11,22,21
