Player,Team,GP,W,GA,SV,SO
Andrei Vasilevskiy,TBL,58,37,141,1584,3
Connor Hellebuyck,WPG,59,32,149,1640,3
Logan Thompson,WSH,56,33,141,1586,3
Jet Greaves,CBJ,57,28,151,1678,3
Ilya Sorokin,NYI,57,28,158,1698,5
Igor Shesterkin,NYR,55,28,145,1607,3
Jeremy Swayman,BOS,58,30,161,1691,3
Juuse Saros,NSH,60,28,182,1788,2
Jake Oettinger,DAL,55,35,144,1486,3
Dustin Wolf,CGY,55,26,156,1621,2
Lukas Dostal,ANA,60,31,187,1783,1
Jesper Wallstedt,MIN,48,26,128,1393,4
Karel Vejmelka,UTA,56,29,160,1570,2
Spencer Knight,CHI,52,21,144,1455,3
Joey Daccord,SEA,50,22,141,1454,2
Jakub Dobes,MTL,48,26,132,1395,1
Joel Hofer,STL,44,23,116,1272,3
MacKenzie Blackwood,COL,45,25,111,1208,3
Sergei Bobrovsky,TOR,54,28,159,1484,3
Dan Vladar,PHI,52,26,146,1433,1
John Gibson,DET,48,22,141,1411,2
Ukko-Pekka Luukkonen,BUF,46,24,122,1270,2
Linus Ullmark,OTT,46,25,124,1263,3
Jacob Markstrom,FLA,52,29,149,1390,2
Carter Hart,VGK,49,23,137,1354,1
Jake Allen,NJD,45,20,130,1327,1
Darcy Kuemper,LAK,47,21,128,1258,3
Scott Wedgewood,COL,37,23,85,978,2
Pyotr Kochetkov,CAR,42,24,101,1029,3
Yaroslav Askarov,SJS,48,20,162,1457,1
Kevin Lankinen,VAN,49,18,155,1395,1
Alex Lyon,BUF,37,19,105,1076,2
Arturs Silovs,PIT,50,24,168,1448,0
Brandon Bussi,CAR,40,25,103,979,2
Filip Gustavsson,MIN,34,18,94,984,2
Alex Nedeljkovic,SJS,38,17,112,1088,1
Joseph Woll,PHI,33,15,102,1051,1
Anton Forsberg,LAK,33,15,91,933,2
Jordan Binnington,STL,39,17,119,1081,1
Nico Daws,NJD,33,15,94,944,1
Anthony Stolarz,TOR,28,14,79,865,1
Akira Schmid,FLA,33,16,89,877,1
Casey DeSmith,DAL,29,14,75,796,1
Adin Hill,VGK,35,18,99,881,2
Charlie Lindgren,WSH,30,14,93,906,1
Daniil Tarasov,DET,33,12,106,1006,0
Devin Cooley,CGY,28,10,81,843,1
Samuel Ersson,OTT,40,18,122,1017,1
Philipp Grubauer,SEA,31,12,90,884,0
Joonas Korpisalo,NYR,32,13,100,921,1
Michael DiPietro,BOS,25,12,69,739,1
Justus Annunen,NSH,26,11,70,739,1
Sergei Murashov,PIT,30,14,90,844,0
Devon Levi,EDM,26,12,80,780,0
Frederik Andersen,EDM,27,14,70,671,1
Stuart Skinner,WPG,26,14,73,698,1
Sebastian Cossa,UTA,26,13,74,694,1
Tristan Jarry,EDM,25,13,79,714,2
Thatcher Demko,VAN,22,9,64,591,1
Jacob Fowler,MTL,18,10,44,463,1
