Player,Team,Pos,GP,G,A,+/-,PPP,HITS,BLK,SOG
Nathan MacKinnon,COL,C,81,48,81,27,37,56,50,351
Nikita Kucherov,TBL,RW,78,42,89,18,43,35,32,258
Connor McDavid,EDM,C,78,39,89,20,46,60,29,268
Cale Makar,COL,D,77,23,63,22,33,40,128,219
Evan Bouchard,EDM,D,83,18,66,18,32,40,104,224
Macklin Celebrini,SJS,C,79,42,63,3,31,52,61,302
David Pastrnak,BOS,RW,80,37,67,3,31,75,27,306
Zach Werenski,CBJ,D,76,20,56,4,20,27,113,255
Leon Draisaitl,EDM,C/LW,72,41,60,16,40,37,21,208
Rasmus Dahlin,BUF,D,78,19,50,8,21,107,103,207
Quinn Hughes,MIN,D,76,12,69,5,34,14,74,192
Kirill Kaprizov,MIN,LW,75,44,48,9,30,53,28,247
Filip Forsberg,NSH,LW,84,40,41,-2,27,135,41,280
Jason Robertson,DAL,LW/RW,84,39,50,12,32,58,36,258
Auston Matthews,TOR,C,68,39,34,6,21,61,95,298
Kyle Connor,WPG,LW,78,39,48,2,22,27,26,259
Nick Suzuki,MTL,C,84,30,62,15,36,64,61,181
Moritz Seider,DET,D,84,9,44,2,24,177,195,173
Lane Hutson,MTL,D,84,9,65,12,23,37,133,111
Artemi Panarin,LAK,LW,80,34,56,1,27,15,15,247
Matthew Schaefer,NYI,D,82,21,39,9,20,45,108,232
Cole Caufield,MTL,LW/RW,83,42,36,11,24,56,24,267
Sidney Crosby,PIT,C,75,31,50,-3,24,72,34,207
Jake Guentzel,TBL,LW/RW,78,37,47,12,28,39,41,224
Mark Scheifele,WPG,C,81,34,57,5,22,50,49,171
Mikko Rantanen,DAL,LW/RW,73,30,57,5,33,49,38,190
Matt Boldy,MIN,LW/RW,78,35,43,6,27,51,54,252
Wyatt Johnston,DAL,C/RW,84,41,40,1,31,55,53,219
Alex DeBrincat,DET,LW/RW,84,38,40,1,24,44,37,264
Tim Stutzle,OTT,C/LW,80,28,51,-1,28,121,44,185
Martin Necas,COL,RW,78,32,53,12,25,78,27,210
William Nylander,TOR,C/RW,75,37,49,-1,28,18,27,220
Jakob Chychrun,WSH,D,79,21,34,3,18,62,117,206
Clayton Keller,UTA,LW/RW,82,28,57,2,31,12,31,224
Jack Eichel,VGK,C,72,28,57,16,28,30,49,257
Sam Reinhart,FLA,RW,77,40,38,2,28,91,52,213
Brandon Hagel,TBL,LW/RW,77,34,45,20,11,50,45,210
Brady Tkachuk,FLA,C/LW,70,28,35,2,22,212,26,274
Josh Morrissey,WPG,D,79,13,48,12,18,53,113,165
Cutter Gauthier,ANA,C/LW/RW,80,37,32,2,17,79,43,285
John Tavares,TOR,C,79,32,38,-6,20,92,33,215
J.T. Miller,NYR,C/LW/RW,73,23,46,-2,27,157,45,155
Roman Josi,NSH,D,70,14,44,-7,25,44,112,195
Sebastian Aho (F),CAR,C,79,30,51,11,27,58,24,203
Jack Hughes,NJD,C/LW,68,30,53,4,29,7,32,265
Adrian Kempe,LAK,RW,82,37,35,11,17,117,36,234
Darren Raddysh,TOR,D,76,15,43,8,21,68,87,171
Jesper Bratt,NJD,LW/RW,84,23,56,-3,26,78,31,196
Aleksander Barkov,FLA,C,70,22,54,9,28,83,52,175
Juraj Slafkovsky,MTL,LW/RW,82,28,43,1,22,143,75,175
Erik Karlsson,PIT,D,79,13,47,-1,21,29,80,189
Jackson LaCombe,ANA,D,79,13,43,-1,15,72,129,145
Tage Thompson,BUF,C/RW,78,38,34,-2,20,80,39,258
Dylan Guenther,UTA,LW/RW,77,36,35,1,25,63,35,229
Mitch Marner,VGK,C/LW/RW,80,25,59,17,27,39,46,166
Mikhail Sergachev,UTA,D,78,13,44,-3,25,49,133,146
Mika Zibanejad,NYR,C/RW,82,29,44,-7,30,76,51,209
Dylan Larkin,DET,C,76,33,38,-2,25,45,34,228
Victor Hedman,TBL,D,74,10,47,7,21,60,115,161
John Carlson,TBL,D,77,11,45,5,15,43,135,163
Nico Hischier,NJD,C,79,30,39,-1,23,51,57,198
Steven Stamkos,NSH,C/RW,82,38,29,-12,28,80,40,212
Matthew Tkachuk,FLA,LW/RW,65,24,47,2,17,105,19,211
Travis Konecny,PHI,LW/RW,78,28,42,1,14,100,38,192
Charlie McAvoy,BOS,D,72,10,41,9,17,113,138,123
Alex Tuch,WSH,LW/RW,79,31,34,12,10,77,93,195
Jake Sanderson,OTT,D,76,12,39,3,22,39,145,170
Adam Fox,NYR,D,72,11,49,6,25,33,95,114
Drake Batherson,OTT,LW/RW,82,28,39,-5,28,123,27,181
Lucas Raymond,DET,RW,82,27,49,-4,26,50,30,176
Bo Horvat,NYI,C,75,31,29,2,15,66,39,236
Adam Fantilli,CBJ,C,83,30,32,-3,15,133,57,215
Kirill Marchenko,CBJ,RW,78,29,41,12,21,58,39,213
Vincent Trocheck,UTA,C,75,20,38,-4,16,185,63,154
Beckett Sennecke,ANA,RW,83,25,42,-10,15,107,26,215
Logan Cooley,UTA,C,78,34,38,2,20,78,39,177
Alex Ovechkin,WSH,LW/RW,77,31,29,-4,21,121,16,234
MacKenzie Weegar,UTA,D,81,8,25,-9,8,188,185,175
Andrei Svechnikov,CAR,LW/RW,73,26,35,2,23,147,19,183
Dylan Holloway,STL,C/LW,72,25,34,11,10,155,48,177
Matthew Knies,TOR,LW/RW,80,24,36,-6,6,180,37,151
Porter Martone,PHI,RW,77,22,35,8,20,196,24,220
Dougie Hamilton,NJD,D,67,13,33,3,18,67,75,199
Noah Dobson,MTL,D,77,11,32,-3,9,59,157,172
Morgan Geekie,BOS,C/LW/RW,79,33,27,-1,17,117,36,175
Tom Wilson,WSH,RW,75,28,28,4,13,205,63,161
Ivan Demidov,MTL,RW,83,23,51,2,23,35,30,154
Brayden Point,TBL,C,75,32,39,3,23,16,35,175
Brock Nelson,COL,C,82,31,32,5,15,37,55,203
Zach Hyman,EDM,LW/RW,73,35,23,12,17,70,26,221
Nikolaj Ehlers,CAR,LW,79,25,42,10,25,28,30,205
Tomas Hertl,VGK,C/LW,74,25,30,-10,21,97,48,176
Pavel Dorofeyev,NYR,LW/RW,84,36,22,-1,24,28,33,242
Miro Heiskanen,DAL,D,70,8,43,6,21,29,112,142
Brock Faber,MIN,D,80,12,33,4,12,42,140,152
Ryan O'Reilly,NSH,C,82,22,43,2,21,20,65,159
Dylan Cozens,OTT,C,83,23,31,-6,20,186,30,199
Dylan Strome,WSH,C,82,21,43,2,25,14,56,151
Owen Tippett,PHI,LW/RW,79,26,24,-4,7,149,53,229
Nick Schmaltz,UTA,C/RW,82,27,41,1,22,19,47,189
Bryan Rust,PIT,RW,70,29,33,-3,19,45,62,188
Brad Marchand,FLA,LW/RW,72,29,33,-6,14,67,26,169
Kevin Fiala,LAK,LW,75,28,32,-4,24,57,27,210
Brandt Clarke,LAK,D,80,8,34,7,15,31,174,167
Timo Meier,NJD,LW/RW,76,26,23,-8,13,129,54,246
Carter Verhaeghe,FLA,LW,78,26,33,-3,15,74,23,215
Filip Hronek,VAN,D,77,7,38,-8,17,115,90,126
Robert Thomas,STL,C,70,21,49,12,19,12,44,130
Leo Carlsson,ANA,C,76,29,41,5,17,20,35,188
Thomas Harley,DAL,D,76,11,33,11,10,45,135,136
Connor Bedard,CHI,C/RW,67,25,40,-12,22,37,28,197
Gabriel Vilardi,WPG,C/RW,77,29,37,-1,24,21,43,140
Rickard Rakell,PIT,C/LW/RW,75,26,29,-4,15,101,56,193
Bowen Byram,CHI,D,82,10,36,8,15,63,105,115
Mark Stone,VGK,RW,63,22,46,14,24,33,46,132
Thomas Chabot,OTT,D,70,10,31,1,11,59,128,154
Roope Hintz,DAL,C,73,24,34,16,20,57,33,149
Elias Pettersson (F),VAN,C,74,20,40,-12,23,83,91,145
Will Cuylle,NYR,LW/RW,84,20,21,1,6,302,59,155
Alex Laferriere,LAK,C/LW/RW,82,22,23,3,4,213,48,216
Shea Theodore,VGK,D,67,8,41,9,18,8,91,138
Matvei Michkov,PHI,LW/RW,82,24,36,-6,16,33,22,194
Shayne Gostisbehere,CAR,D,67,10,39,-2,23,32,67,123
Nazem Kadri,COL,C/LW,81,23,34,-5,18,50,27,229
Alexander Nikishin,CAR,D,81,10,26,12,11,145,102,133
Sam Bennett,FLA,C,74,24,28,-3,12,141,39,209
Aliaksei Protas,WSH,LW/RW,77,26,34,20,1,28,40,159
Alexis Lafreniere,NYR,LW/RW,84,24,31,-4,10,90,33,175
Mattias Ekholm,EDM,D,77,8,32,20,4,77,109,145
Trevor Zegras,PHI,C/LW/RW,73,24,39,-7,17,48,29,166
Darnell Nurse,SJS,D,81,7,21,-2,2,151,160,174
Vince Dunn,SEA,D,71,11,33,-5,17,31,79,154
Jordan Kyrou,WSH,RW,77,26,32,3,16,26,31,209
Jimmy Snuggerud,STL,RW,75,23,33,8,10,78,43,186
Will Smith,SJS,LW/RW,72,25,37,-4,18,15,14,175
Rasmus Andersson,VGK,D,80,12,25,-5,9,34,155,151
Kiefer Sherwood,SJS,LW/RW,73,20,17,-2,5,343,30,158
Quinton Byfield,LAK,C,81,25,33,6,16,75,37,181
Travis Sanheim,PHI,D,83,10,27,-1,3,68,156,119
Brandon Montour,SEA,D,70,12,23,-11,11,85,81,188
Brock Boeser,VAN,LW/RW,77,28,27,-20,21,60,29,171
JJ Peterka,BOS,LW/RW,82,28,28,4,9,24,19,189
Jared McCann,SEA,C/LW,74,24,31,-2,16,47,35,179
Joel Eriksson Ek,MIN,C,73,23,28,10,16,116,40,199
Ivan Barbashev,VGK,LW,79,22,32,16,5,139,38,125
Morgan Rielly,TOR,D,78,8,31,-6,8,48,124,145
Jacob Trouba,SJS,D,77,6,21,-2,1,161,172,143
Charlie Coyle,CBJ,C,84,20,33,-1,10,115,57,138
Luke Evangelista,NJD,LW/RW,78,17,42,1,14,28,22,186
